"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"169","ARAL","ARAL_01","Agriculture",1073459.45570277,0.0154419410821422,69515836.7715942,"catchment","2005_2010"
"170","ARAL","ARAL_01","Shrubland",7054956.20734687,0.101487035688387,69515836.7715942,"catchment","2005_2010"
"171","ARAL","ARAL_01","Nat_forest",30799537.0669099,0.443057848359171,69515836.7715942,"catchment","2005_2010"
"172","ARAL","ARAL_01","Plant_forest",18162228.6348148,0.26126749641941,69515836.7715942,"catchment","2005_2010"
"173","IZKI","IZKI_10","Water",1322.77056419849,3.033928826384e-05,43599261.5481043,"catchment","2005_2010"
"174","IZKI","IZKI_10","Urban",24103.6892298835,0.00055284627248305,43599261.5481043,"catchment","2005_2010"
"175","IZKI","IZKI_10","Bare_soil",128680.974510937,0.00295144848655199,43599261.5481043,"catchment","2005_2010"
"176","IZKI","IZKI_10","Grassland",1884290.75464696,0.0432184098477899,43599261.5481043,"catchment","2005_2010"
"177","IZKI","IZKI_10","Agriculture",1596552.95300836,0.0366188072072469,43599261.5481043,"catchment","2005_2010"
"178","IZKI","IZKI_10","Shrubland",3823905.12809064,0.0877057315264758,43599261.5481043,"catchment","2005_2010"
"179","IZKI","IZKI_10","Nat_forest",33169933.5761153,0.760791178527598,43599261.5481043,"catchment","2005_2010"
"180","IZKI","IZKI_10","Plant_forest",2970471.70193806,0.0681312388435903,43599261.5481043,"catchment","2005_2010"
"181","GORB","GORB_10","Bare_soil",868970.419617331,0.0221955069882355,39150735.3302594,"catchment","2005_2010"
"182","GORB","GORB_10","Grassland",5399043.87221363,0.137904022151041,39150735.3302594,"catchment","2005_2010"
"183","GORB","GORB_10","Agriculture",53540.7207575654,0.00136755338835703,39150735.3302594,"catchment","2005_2010"
"184","GORB","GORB_10","Shrubland",10672207.0392776,0.272592761010777,39150735.3302594,"catchment","2005_2010"
"185","GORB","GORB_10","Nat_forest",14006921.2287331,0.357769045985381,39150735.3302594,"catchment","2005_2010"
"186","GORB","GORB_10","Plant_forest",8150052.04966025,0.208171110476209,39150735.3302594,"catchment","2005_2010"
"187","ARTI","ARTI_10","Water",110800.186529217,0.00235298923001124,47089117.5854161,"catchment","2010_2015"
"188","ARTI","ARTI_10","Urban",2622.59261995554,5.56942400799581e-05,47089117.5854161,"catchment","2010_2015"
"189","ARTI","ARTI_10","Bare_soil",4589.17839729908,9.74573029315035e-05,47089117.5854161,"catchment","2010_2015"
"190","ARTI","ARTI_10","Grassland",923014.644093578,0.0196014427838725,47089117.5854161,"catchment","2010_2015"
"191","ARTI","ARTI_10","Agriculture",1311.25320008397,2.78462045440851e-05,47089117.5854161,"catchment","2010_2015"
"192","ARTI","ARTI_10","Shrubland",6059970.37940166,0.128691525561279,47089117.5854161,"catchment","2010_2015"
